Distrito;Descripcio;TotalTrips;Trips_App;Trips_Autobus;Trips_Autobus_RTP_M1;Trips_Automovil;Trips_Bicicleta;Trips_Bicitaxi;Trips_Caminar;Trips_Colectivo_Micro;Trips_Metro;Trips_Metrobus_Mexibus;Trips_Mexicable;Trips_Moto;Trips_Mototaxi;Trips_Otro;Trips_Taxi;Trips_TransporteDePersonal;Trips_TransporteEscolar;Trips_TrenLigero;Trips_TrenSuburbano;Trips_Trolebus;TravelTime_App;TravelTime_Autobus;TravelTime_Autobus_RTP_M1;TravelTime_Automovil;TravelTime_Bicicleta;TravelTime_Bicitaxi;TravelTime_Caminar;TravelTime_Colectivo_Micro;TravelTime_Metro;TravelTime_Metrobus_Mexibus;TravelTime_Mexicable;TravelTime_Moto;TravelTime_Mototaxi;TravelTime_Otro;TravelTime_Taxi;TravelTime_TransporteDePersonal;TravelTime_TransporteEscolar;TravelTime_TrenLigero;TravelTime_TrenSuburbano;TravelTime_Trolebus;TotalPeople;Age;TotalEducation_High;TotalEducation_Low;TotalEducation_Medium;Total_Female;Total_Male;Total_Homes;Homes_With_Cars;Homes_With_Motorbikes;Homes_With_Bicycles;Cars_mean;Motorbikes_mean;Bicycles_mean
001;Centro Histórico;22428;56;327;175;1276;83;15;9264;4495;5297;558;0;68;18;3;427;1;8;62;111;184;32.19642857142857;54.932721712538225;40.25714285714286;62.06191222570533;26.27710843373494;11.933333333333334;10.1323402417962;38.3301446051168;37.49612988484048;34.11469534050179;0;34.55882352941177;9.166666666666666;41;25.470725995316158;40;20.625;35.725806451612904;27.92792792792793;31.706521739130434;898;36.48552338530067;180;442;236;475;423;315;46;13;40;0.1523809523809524;0.15873015873015872;0.15873015873015872
002;Buenavista-Reforma;10748;68;209;101;1238;74;2;4414;1741;1725;727;1;64;10;3;205;5;9;12;115;25;32.205882352941174;45.301435406698566;31.613861386138613;52.15751211631664;21.93243243243243;7.5;9.65700045310376;34.75933371625503;39.69565217391305;31.983493810178818;20;28.75;7.2;90;24.341463414634145;69;42.77777777777778;30.833333333333332;27.278260869565216;38.2;858;38.12354312354312;326;302;194;438;420;311;129;29;71;0.5080385852090032;0.3440514469453376;0.3440514469453376
003;Tlatelolco;5327;15;146;92;415;53;4;2535;766;793;130;1;39;4;0;166;1;8;4;14;141;39.333333333333336;37.054794520547944;25.5;42.66987951807229;19.566037735849058;8.75;10.806311637080867;34.05352480417755;35.73770491803279;33.86153846153846;25;22.564102564102566;10;0;22.46385542168675;45;33.125;25;24.642857142857142;22.70921985815603;856;36.725467289719624;165;392;259;440;416;285;86;14;33;0.3157894736842105;0.12631578947368421;0.12631578947368421
004;Morelos;6586;21;169;62;619;64;0;3161;1045;987;134;0;43;1;9;230;4;12;4;10;11;36.666666666666664;41.603550295857985;30.016129032258064;45.04038772213247;21.09375;0;11.242644732679532;34.756937799043065;34.54407294832827;29.044776119402986;0;22.162790697674417;15;21.666666666666668;21.786956521739132;45;23.333333333333332;22.5;31.5;15;969;36.85345717234262;227;429;277;503;466;284;112;32;72;0.47183098591549294;0.3204225352112676;0.3204225352112676
005;Moctezuma, Terminal de Autobuses de Oriente (TAPO);5259;18;166;47;593;23;3;2545;801;671;145;0;23;4;5;177;1;11;1;9;16;37.5;34.28915662650602;28.617021276595743;37.45193929173693;22.47826086956522;16.666666666666668;9.412573673870334;30.752808988764045;34.46646795827124;31.193103448275863;0;37.78260869565217;7.5;32;20.062146892655367;90;31.363636363636363;30;28.88888888888889;21.5625;969;39.81011351909185;218;446;265;513;456;287;110;9;48;0.42160278745644597;0.23693379790940766;0.23693379790940766
006;Balbuena;7174;32;95;63;760;59;2;3178;1324;1202;111;1;29;14;3;219;1;3;15;15;48;26.09375;50.410526315789475;33.23809523809524;44.26578947368421;18.1864406779661;5;10.0254877281309;33.644259818731115;34.50332778702163;30.864864864864863;23;33.6551724137931;10.785714285714286;15;21.19178082191781;40;18.666666666666668;28.866666666666667;26.333333333333332;20.604166666666668;844;39.91350710900474;273;283;257;446;398;281;103;8;40;0.5088967971530249;0.19217081850533807;0.19217081850533807
007;Obrera;7207;16;83;25;556;40;4;3613;1006;1399;135;0;39;7;0;156;1;2;7;21;97;26.4375;49.87951807228916;35;49.68345323741007;14.825;8.75;8.932466094658178;33.5168986083499;35.64188706218728;33.11851851851852;0;37.43589743589744;10.714285714285714;0;24.044871794871796;70;12.5;25.714285714285715;29.285714285714285;25.54639175257732;906;36.41280353200883;227;383;252;470;436;294;88;12;36;0.3197278911564626;0.13945578231292516;0.13945578231292516
008;Condesa;8999;99;84;45;1364;131;0;3745;1245;1430;542;0;34;9;4;177;0;14;12;33;31;36.14141414141414;55.11904761904762;37.977777777777774;44.68255131964809;22.045801526717558;0;10.69506008010681;36.29718875502008;40.73566433566434;38.49077490774908;0;39.970588235294116;7.777777777777778;10;25.096045197740114;0;46.07142857142857;35;28.09090909090909;27.741935483870968;767;40.57496740547588;443;173;131;375;392;304;174;16;87;0.7335526315789473;0.4309210526315789;0.4309210526315789
009;Nápoles;4837;51;50;24;1062;42;1;1775;708;532;404;0;22;3;1;119;3;12;5;9;14;34.15686274509804;46.8;36.875;45.34180790960452;22.785714285714285;5;9.954929577464789;36.50847457627118;39.776315789473685;37.04455445544554;0;29.545454545454547;8.333333333333334;60;25.436974789915965;56.666666666666664;56.666666666666664;34;32.22222222222222;31.071428571428573;634;42.89905362776025;433;102;88;355;279;286;206;15;55;0.9020979020979021;0.26573426573426573;0.26573426573426573
010;Vertiz Narvarte;4209;45;30;9;673;27;0;1854;537;617;209;0;13;0;0;115;1;6;3;3;67;35.333333333333336;45.5;28.88888888888889;38.39524517087667;24.25925925925926;0;9.54099244875944;32.64059590316574;35.51863857374392;33.45933014354067;0;26.153846153846153;0;0;25.026086956521738;15;37.5;26.666666666666668;21.666666666666668;28;726;41.96143250688705;355;163;182;377;349;282;159;9;37;0.6666666666666666;0.1879432624113475;0.1879432624113475
011;Reforma Iztaccíhuatl;3343;28;45;26;483;26;5;1411;574;439;145;0;20;4;6;105;0;9;4;6;7;33.57142857142857;55.55555555555556;28.384615384615383;42.542443064182194;24.807692307692307;9;10.445074415308293;25.536585365853657;34.46013667425968;31.489655172413794;0;31.75;10;56.666666666666664;24.771428571428572;0;32.22222222222222;33.75;30.833333333333332;37.142857142857146;860;40.22790697674419;323;269;246;470;390;290;139;16;39;0.6344827586206897;0.16551724137931034;0.16551724137931034
012;Palacio de los Deportes;6205;14;57;63;630;74;0;2720;1455;762;191;0;20;3;4;187;1;3;7;10;4;35.714285714285715;50.43859649122807;34.22222222222222;42.60476190476191;19.95945945945946;0;10.654779411764705;23.846735395189004;30.31496062992126;26.869109947643977;0;29;11.666666666666666;26.25;20.74866310160428;30;36.666666666666664;32.857142857142854;28.5;20;1008;38.351190476190474;196;502;271;528;480;296;103;15;68;0.3952702702702703;0.2972972972972973;0.2972972972972973
013;San Andrés Tetepilco;4977;23;51;53;770;57;2;2165;959;589;27;0;28;13;3;180;0;9;11;4;33;35.65217391304348;59.90196078431372;34.698113207547166;38.53506493506494;20.087719298245613;15;9.866050808314087;27.715328467153284;33.34634974533107;23.333333333333332;0;24.214285714285715;10;13.333333333333334;20.083333333333332;0;20;36.81818181818182;22.5;23.181818181818183;873;38.289805269186715;289;354;192;454;419;279;147;12;45;0.6738351254480287;0.20430107526881722;0.20430107526881722
014;Portales;6079;54;57;65;1049;33;0;2237;1181;997;80;0;17;5;1;192;2;5;9;11;84;30;50.35087719298246;37.53846153846154;42.46425166825548;26.96969696969697;0;9.802860974519445;34.10584250635055;37.3420260782347;28.3375;0;38.8235294117647;8;20;26.614583333333332;40;32;41.111111111111114;25;24.94047619047619;713;43.06311360448808;386;159;147;357;356;278;157;7;47;0.697841726618705;0.23741007194244604;0.23741007194244604
